,onsets,labels,midi,note,type,open string
0,0.174875,G4-B,67,G4,B,0
1,0.429569,G3-B,55,G3,B,1
2,1.125442,G4-B,67,G4,B,0
3,1.311202,G3-B,55,G3,B,1
4,3.741315,G4-B,67,G4,B,0
5,3.952472,G3-B,55,G3,B,1
6,4.625125,G4-B,67,G4,B,0
7,4.845714,G3-B,55,G3,B,1
8,7.31356,B3-B,59,B3,B,0
9,7.559546,C4-B,60,C4,B,0
10,8.239456,E4-B,64,E4,B,0
11,8.457143,F4-B,65,F4,B,0
12,9.079728,F4-B,65,F4,B,0
13,9.300317,D4-B,62,D4,B,1
14,9.740045,D4-B,62,D4,B,1
15,10.160181,E4-B,64,E4,B,0
16,10.887982,G4-B,67,G4,B,0
17,11.141224,D4-B,62,D4,B,1
18,11.356735,E4-B,64,E4,B,0
19,11.560635,F4-B,65,F4,B,0
20,11.76381,D4-B,62,D4,B,1
21,11.994558,D4-B,62,D4,B,0
22,12.200635,B4-B,71,B4,B,0
23,12.40381,C5-B,72,C5,B,0
24,12.617143,G4-B,67,G4,B,0
25,12.836281,C5-B,72,C5,B,0
26,13.052517,B4-B,71,B4,B,0
27,13.24263,A4-B,69,A4,B,1
28,13.475556,D4-B,62,D4,B,0
29,13.69034,G4-B,67,G4,B,0
30,13.92254,F#4-B,66,F#4,B,0
31,14.128435,G4-B,67,G4,B,0
32,14.330884,G4-B,67,G4,B,0
33,14.565079,D4-B,62,D4,B,1
34,14.779864,E4-B,64,E4,B,0
35,14.981587,F4-B,65,F4,B,0
36,15.187302,D4-B,62,D4,B,1
37,15.393016,E4-B,64,E4,B,0
38,15.60127,B4-B,71,B4,B,0
39,15.806984,C5-B,72,C5,B,0
40,16.025397,E5-B,76,E5,B,0
41,16.24127,C5-B,72,C5,B,0
42,16.457143,E5-B,76,E5,B,0
43,16.662857,A4-B,69,A4,B,1
44,16.88127,D5-B,74,D5,B,0
45,17.081905,G4-B,67,G4,B,0
46,17.292698,A4-B,69,A4,B,0
47,17.503492,G4-B,67,G4,B,0
48,17.719365,B3-B,59,B3,B,0
49,17.912381,C4-B,60,C4,B,0
50,18.138413,G3-B,55,G3,B,1
51,18.341587,G4-B,67,G4,B,0
52,18.568299,E4-B,64,E4,B,0
53,18.770794,F4-B,65,F4,B,0
54,18.986667,G4-B,67,G4,B,0
55,19.181406,A4-B,69,A4,B,0
56,19.410794,F4-B,65,F4,B,0
57,19.636871,D4-B,62,D4,B,1
58,19.84254,C4-B,60,C4,B,0
59,20.050431,D4-B,62,D4,B,1
60,20.269206,F4-B,65,F4,B,0
61,20.490159,E4-B,64,E4,B,0
62,20.703492,G4-B,67,G4,B,0
63,20.902993,C5-B,72,C5,B,0
64,21.622358,C4-B,60,C4,B,0
65,21.836372,G#3-B,56,G#3,B,0
66,22.064762,A3-F,57,A3,F,0
67,22.303492,E3-B,52,E3,B,0
68,23.342222,C4-B,60,C4,B,0
69,23.566939,G#3-B,56,G#3,B,0
70,23.790816,A3-F,57,A3,F,0
71,24.027937,E3-B,52,E3,B,0
72,25.095918,G3-B,55,G3,B,0
73,25.255147,F3-F,53,F3,F,0
74,25.928073,C#4-B,61,C#4,B,0
75,26.155057,D4-F,62,D4,F,0
76,26.821542,F#3-B,54,F#3,B,0
77,27.062494,G3-F,55,G3,F,0
78,27.703039,B3-B,59,B3,B,0
79,27.915057,C4-F,60,C4,F,0
80,28.194898,C5-B,72,C5,B,0
81,28.418367,E4-B,64,E4,B,0
82,29.052041,F4-F,65,F4,F,0
83,29.296417,F#4-B,66,F#4,B,0
84,29.525896,G4-F,67,G4,F,0
85,29.713265,G4-B,67,G4,B,0
86,30.410385,G4-B,67,G4,B,0
87,30.6361,G4-B,67,G4,B,0
88,30.738503,F4-F,65,F4,F,0
89,30.855873,E4-F,64,E4,F,0
90,30.950159,D4-F,62,D4,F,1
91,31.086848,C4-B,60,C4,B,0
92,31.305351,B3-F,59,B3,F,0
93,31.502902,B3-B,59,B3,B,0
94,31.731633,C5-B,72,C5,B,0
95,31.946893,E4-B,64,E4,B,0
96,32.60102,F4-F,65,F4,F,0
97,32.827891,F#4-B,66,F#4,B,0
98,33.063265,G4-F,67,G4,F,0
99,33.292063,G4-B,67,G4,B,0
100,33.505102,G#4-B,68,G#4,B,0
101,33.761224,A4-F,69,A4,F,0
102,34.392336,F#4-B,66,F#4,B,0
103,34.583673,G4-F,67,G4,F,0
104,37.495918,C4-B,60,C4,B,0
105,37.723469,D3-B,50,D3,B,1
106,38.413265,C4-B,60,C4,B,0
107,38.608163,D3-B,50,D3,B,1
108,39.267347,B3-B,59,B3,B,0
109,39.483673,D3-B,50,D3,B,1
110,40.176531,B3-B,59,B3,B,0
111,40.387755,D3-B,50,D3,B,1
112,41.079592,C4-B,60,C4,B,0
113,41.331633,F#3-B,54,F#3,B,0
114,41.577551,G3-F,55,G3,F,0
115,41.966327,A3-B,57,A3,B,0
