,onsets,labels,midi,note,type,open string
0,0.169796,C5-B,72,C5,B,0
1,0.421224,B4-B,71,B4,B,0
2,0.652336,C5-F,72,C5,F,0
3,0.889615,D5-F,74,D5,F,0
4,1.104762,F5-B,77,F5,B,0
5,1.33551,E5-B,76,E5,B,0
6,1.549569,D5-F,74,D5,F,0
7,1.751293,C5-F,72,C5,F,0
8,1.985306,G5-B,79,G5,B,0
9,2.223673,F5-B,77,F5,B,0
10,2.448254,E5-F,76,E5,F,1
11,2.678095,D5-F,74,D5,F,0
12,2.85678,C5-F,72,C5,F,0
13,3.082086,B4-B,71,B4,B,0
14,3.317551,E5-F,76,E5,F,0
15,3.547574,D5-F,74,D5,F,0
16,3.771791,C5-F,72,C5,F,0
17,3.999274,B4-B,71,B4,B,0
18,4.203537,C5-F,72,C5,F,0
19,4.427392,D5-F,74,D5,F,0
20,4.638549,F5-B,77,F5,B,0
21,4.862766,E5-B,76,E5,B,0
22,5.103673,D5-F,74,D5,F,0
23,5.318095,C5-F,72,C5,F,0
24,5.543401,G#5-B,80,G#5,B,0
25,5.793379,A5-F,81,A5,F,0
26,6.010703,G5-B,79,G5,B,0
27,6.252698,F5-F,77,F5,F,0
28,6.46712,G5-B,79,G5,B,0
29,6.696417,E5-F,76,E5,F,1
30,6.915918,F5-B,77,F5,B,0
31,7.122358,D5-F,74,D5,F,0
32,7.349841,G4-B,67,G4,B,0
33,7.583129,C5-B,72,C5,B,0
34,7.809161,B4-F,71,B4,F,0
35,8.018503,C5-F,72,C5,F,0
36,8.20644,C#5-F,73,C#5,F,0
37,8.43102,D5-B,74,D5,B,0
38,8.682812,E5-F,76,E5,F,0
39,8.891791,F5-F,77,F5,F,0
40,9.083719,D5-F,74,D5,F,0
41,9.320998,B4-B,71,B4,B,0
42,9.548118,B4-B,71,B4,B,0
43,9.755283,B4-B,71,B4,B,0
44,9.890612,C5-F,72,C5,F,0
45,10.01034,D5-F,74,D5,F,0
46,10.082902,B4-F,71,B4,F,0
47,10.210612,C5-B,72,C5,B,0
48,10.459501,E5-F,76,E5,F,0
49,10.672834,C5-B,72,C5,B,0
50,10.90322,C5-B,72,C5,B,0
51,11.1278,B4-B,71,B4,B,0
52,11.361088,C5-B,72,C5,B,0
53,11.565714,D5-B,74,D5,B,0
54,11.775782,F5-B,77,F5,B,0
55,12.001814,E5-B,76,E5,B,0
56,12.213333,D5-B,74,D5,B,0
57,12.412154,C5-B,72,C5,B,0
58,12.613515,G5-B,79,G5,B,0
59,12.833379,F5-B,77,F5,B,0
60,13.053243,E5-B,76,E5,B,1
61,13.272018,D5-B,74,D5,B,0
62,13.491519,C5-B,72,C5,B,0
63,13.69542,B4-B,71,B4,B,0
64,13.928707,E5-B,76,E5,B,0
65,14.14966,D5-B,74,D5,B,0
66,14.373878,C5-B,72,C5,B,0
67,14.561451,B4-B,71,B4,B,0
68,14.777687,C5-B,72,C5,B,0
69,14.977959,D5-B,74,D5,B,0
70,15.188753,F5-B,77,F5,B,0
71,15.394467,E5-B,76,E5,B,0
72,15.602358,D5-B,74,D5,B,0
73,15.816054,C5-B,72,C5,B,0
74,16.021406,G#5-B,80,G#5,B,0
75,16.247438,A5-B,81,A5,B,0
76,16.478912,G5-B,79,G5,B,0
77,16.678821,F5-B,77,F5,B,0
78,16.885261,G5-B,79,G5,B,0
79,17.082993,E5-B,76,E5,B,1
80,17.303583,F5-B,77,F5,B,0
81,17.487528,D5-B,74,D5,B,0
82,17.706667,G4-B,67,G4,B,0
83,17.937415,C5-B,72,C5,B,0
84,18.144218,B4-B,71,B4,B,0
85,18.351383,C5-B,72,C5,B,0
86,18.561088,C#5-B,73,C#5,B,0
87,18.769705,D5-B,74,D5,B,0
88,19.008798,E5-B,76,E5,B,0
89,19.207256,F5-B,77,F5,B,0
90,19.410431,D5-B,74,D5,B,0
91,19.611066,B4-B,71,B4,B,0
92,19.836735,C5-B,72,C5,B,0
93,20.057324,B4-B,71,B4,B,0
94,20.207166,C5-F,72,C5,F,0
95,20.324717,D5-F,74,D5,F,0
96,20.404898,B4-F,71,B4,F,0
97,20.497415,C5-B,72,C5,B,0
98,20.735782,C5-B,72,C5,B,0
99,20.944762,C5-B,72,C5,B,0
100,21.154104,C6-B,84,C6,B,0
101,21.403719,E5-B,76,E5,B,0
102,22.067302,F5-F,77,F5,F,0
103,22.267211,F#5-B,78,F#5,B,0
104,22.474376,G5-F,79,G5,F,0
105,22.707302,G5-B,79,G5,B,0
106,22.90576,C6-B,84,C6,B,0
107,23.153197,E5-B,76,E5,B,0
108,23.768526,F5-F,77,F5,F,0
109,24.008345,F#5-B,78,F#5,B,0
110,24.213696,G5-F,79,G5,F,0
111,24.413605,G5-B,79,G5,B,0
112,24.624036,C5-B,72,C5,B,0
113,24.862041,C#5-B,73,C#5,B,0
114,25.32644,D5-F,74,D5,F,0
115,25.525624,E5-B,76,E5,B,0
116,25.753832,G5-B,79,G5,B,0
117,26.177596,F5-F,77,F5,F,0
118,26.388753,A5-B,81,A5,B,0
119,26.614785,C5-B,72,C5,B,0
120,27.062132,B4-F,71,B4,F,0
121,27.303039,G5-B,79,G5,B,0
122,27.538866,F5-B,77,F5,B,0
123,27.945578,E5-F,76,E5,F,0
124,28.626576,C6-B,84,C6,B,0
125,28.870023,G#5-B,80,G#5,B,0
126,29.103673,A5-F,81,A5,F,0
127,29.313379,E5-B,76,E5,B,0
128,29.525624,D5-F,74,D5,F,0
129,29.746213,D5-B,74,D5,B,0
130,32.168707,C5-B,72,C5,B,0
131,32.390023,B5-B,83,B5,B,0
132,32.52898,A5-F,81,A5,F,0
133,32.63093,G5-F,79,G5,F,0
134,32.73288,F5-F,77,F5,F,0
135,32.828662,E5-B,76,E5,B,0
136,33.075737,D5-F,74,D5,F,0
137,33.252426,D5-B,74,D5,B,0
138,33.501315,E5-B,76,E5,B,0
139,33.713923,D5-B,74,D5,B,0
140,33.952653,C5-F,72,C5,F,0
141,34.160181,C5-B,72,C5,B,0
142,34.383311,D5-B,74,D5,B,0
143,34.601723,C5-B,72,C5,B,0
144,34.850249,B4-F,71,B4,F,0
145,35.026939,B4-B,71,B4,B,0
146,35.26712,G5-B,79,G5,B,0
147,35.485896,B4-B,71,B4,B,0
148,36.133878,C#5-F,73,C#5,F,0
149,36.353741,E5-B,76,E5,B,0
150,36.568163,D5-F,74,D5,F,0
151,36.807619,D5-B,74,D5,B,0
152,37.03619,D5-B,74,D5,B,0
153,37.273107,F#4-B,66,F#4,B,0
154,37.972971,G4-F,67,G4,F,0
155,38.19102,G#4-B,68,G#4,B,0
156,38.61551,A4-F,69,A4,F,0
157,38.850249,D5-B,74,D5,B,0
158,39.081361,G4-B,67,G4,B,0
159,39.748209,A4-F,69,A4,F,0
160,39.980045,Bb4-B,70,Bb4,B,0
161,40.451701,B4-F,71,B4,F,0
162,40.664853,D5-B,74,D5,B,0
163,40.871837,A4-B,69,A4,B,1
164,41.587302,B4-F,71,B4,F,0
165,41.945397,D5-B,74,D5,B,0
166,44.204989,C5-F,72,C5,F,0
